"Invalid request method";"Invalid request method"
"Like added";"Like added"
"Like removed";"Like removed"
"This user is not allowed to unlike this page";"This user is not allowed to unlike this circle"
"View Page";"View Circle"
"Dashboard: ";"Dashboard: "
"Configure a %s Page Badge";"Configure a %s Circle Badge"
"Embeddable Page Badge enables you to concisely share and showcase your Page information and content on external blogs or websites. With this, you can gain visibility, popularity and Likes for your Page by attracting people. It enables people to:";"Embeddable Circle Badge enables you to concisely share and showcase your Circle information and content on external blogs or websites. With this, you can gain visibility, popularity and Likes for your Circle by attracting people. It enables people to:"
"See the information of this Page.";"See the information of this Circle."
"See the recent content and updates of this Page for the various sections.";"See the recent content and updates of this Circle for the various sections."
"See how many people already like this Page.";"See how many people already like this Circle."
"Like this Page.";"Like this Circle."
"Below, you can customize the various aspects of your Page Badge. Copy the generated HTML and paste it into the source code for your web page.";"Below, you can customize the various aspects of your Circle Badge. Copy the generated HTML and paste it into the source code for your web circle."
"Unlike";"Unlike"
"Profile Information";"Profile Information"
"View More";"View More"
"End date:";"End date:"
"Never Expires";"Never Expires"
"%s person likes";"%s person likes";"%s people like"
"Object is not found";"Object is not found"
"Your Embeddable Page Badge code";"Your Embeddable Circle Badge code"
"Copy this code and paste it into your web page.";"Copy this code and paste it into your web circle."
"Okay";"Okay"
"Your Page URL";"Your Circle URL"
"The Page Title and Page Photo will link to this URL.";"The Circle Title and Circle Photo will link to this URL."
"Color Code:";"Color Code:"
"Border Color";"Border Color"
"Border color of the embeddable badge. Mention color of your <br> choice like red, etc, or choose its code by clicking on the rainbow.";"Border color of the embeddable badge. Mention color of your <br> choice like red, etc, or choose its code by clicking on the rainbow."
"The action you are looking for does not exist.";"The action you are looking for does not exist."
"The post was not added to the feed. Please check your %1$sprivacy settings%2$s.";"The post was not added to the feed. Please check your %1$sprivacy settings%2$s."
"Activity Item Not Found";"Activity Item Not Found"
"The page you have attempted to access could not be found.";"The circle you have attempted to access could not be found."
"Nothing has been posted here yet - be the first!";"Nothing has been posted here yet - be the first!"
"Loading ...";"Loading ..."
" &raquo; Map ";" &raquo; Map "
"Global Settings";"Global Settings"
"These settings affect all members in your community.";"These settings affect all members in your community."
"Enter License key";"Enter License key"
"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )";"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )"
"Your community is currently in ""Production Mode"". We recommend that you momentarily switch your site to ""Development Mode"" so that the CSS of this plugin renders fine as soon as the plugin is installed. After completely installing this plugin and visiting few pages of your site, you may again change the System Mode back to ""Production Mode"" from the Admin Panel Home. (In Production Mode, caching prevents CSS of new plugins to be rendered immediately after installation.)";"Your community is currently in ""Production Mode"". We recommend that you momentarily switch your site to ""Development Mode"" so that the CSS of this plugin renders fine as soon as the plugin is installed. After completely installing this plugin and visiting few circles of your site, you may again change the System Mode back to ""Production Mode"" from the Admin Panel Home. (In Production Mode, caching prevents CSS of new plugins to be rendered immediately after installation.)"
"System Mode";"System Mode"
"Enable Embeddable Badges / Like Box for the default package that was created upon installation of the ""Directory / Pages Plugin"" (If enabled, the External Badge App will also be available to Pages created so far under the default package).";"Enable Embeddable Badges / Like Box for the default package that was created upon installation of the ""Directory / Circles Plugin"" (If enabled, the External Badge App will also be available to Circles created so far under the default package)."
"Embeddable Badges / Like Box for Default Package";"Embeddable Badges / Like Box for Default Package"
"Activate Your Plugin Now";"Activate Your Plugin Now"
"Badge Width";"Badge Width"
"Height of the embeddable badge in pixels.";"Height of the embeddable badge in pixels."
"Color scheme of the embeddable badge.";"Color scheme of the embeddable badge."
"Show profile photos";"Show profile photos"
"Show profile photos of users who like the page in the embeddable badge.";"Show profile photos of users who like the circle in the embeddable badge."
"Color Scheme Code:";"Color Scheme Code:"
"Show header";"Show header"
"Show the 'Find us on %s' bar at top of the embeddable badge.<br /> This is only shown when either page content or profile photos are present.";"Show the 'Find us on %s' bar at top of the embeddable badge.<br /> This is only shown when either circle content or profile photos are present."
"Show page data and content";"Show circle data and content"
"Page Data and Content";"Circle Data and Content"
"Show data and content of page in the embeddable badge.<br/> Below, you can further choose what all to show.";"Show data and content of circle in the embeddable badge.<br/> Below, you can further choose what all to show."
"Show Updates";"Show Updates"
"Updates";"Updates"
"Show page updates in the embeddable box.";"Show circle updates in the embeddable box."
"Show Info";"Show Info"
"Show page information in the embeddable box.";"Show circle information in the embeddable box."
"Show Map";"Show Map"
"Show page location map in the embeddable box.";"Show circle location map in the embeddable box."
"Show Photos";"Show Photos"
"Show page photos in the embeddable box.";"Show circle photos in the embeddable box."
"Show Music";"Show Music"
"Show page music in the embeddable box.";"Show circle music in the embeddable box."
"Music";"Music"
"Show Events";"Show Events"
"Show page events in the embeddable box.";"Show circle events in the embeddable box."
"Events";"Events"
"Show Discussions";"Show Discussions"
"Discussions";"Discussions"
"Show page discussions in the embeddable box.";"Show circle discussions in the embeddable box."
"Show Polls";"Show Polls"
"Polls";"Polls"
"Show page polls in the embeddable box.";"Show circle polls in the embeddable box."
"Show Notes";"Show Notes"
"Notes";"Notes"
"Show page notes in the embeddable box.";"Show circle notes in the embeddable box."
"Show Offers";"Show Offers"
"Show page offers in the embeddable box.";"Show circle offers in the embeddable box."
"Offers";"Offers"
"Show Videos";"Show Videos"
"Show page videos in the embeddable box.";"Show circle videos in the embeddable box."
"Videos";"Videos"
"Show Documents";"Show Documents"
"Show page documents in the embeddable box.";"Show circle documents in the embeddable box."
"Documents";"Documents"
"Get Code";"Get Code"
"Color Schemes";"Color Schemes"
"FAQ";"FAQ"
"Reviews & Ratings";"Reviews & Ratings"
"Page Profile Photo";"Circle Profile Photo"
"Show page updates in the embeddable badge.";"Show circle updates in the embeddable badge."
"Show page location map in the embeddable badge.";"Show circle location map in the embeddable badge."
"Show page photos in the embeddable badge.";"Show circle photos in the embeddable badge."
"Show page music in the embeddable badge.";"Show circle music in the embeddable badge."
"Show page reviews and ratings in the embeddable badge.";"Show circle reviews and ratings in the embeddable badge."
"Show page events in the embeddable badge.";"Show circle events in the embeddable badge."
"Show page discussions in the embeddable badge.";"Show circle discussions in the embeddable badge."
"Show page polls in the embeddable badge.";"Show circle polls in the embeddable badge."
"Show page notes in the embeddable badge.";"Show circle notes in the embeddable badge."
"Show page offers in the embeddable badge.";"Show circle offers in the embeddable badge."
"Show page videos in the embeddable badge.";"Show circle videos in the embeddable badge."
"Show page documents in the embeddable badge.";"Show circle documents in the embeddable badge."
"Show page information in the embeddable badge.";"Show circle information in the embeddable badge."
"Show Reviews & Ratings";"Show Reviews & Ratings"
"Reviews";"Reviews"
"Title Truncation Limit";"Title Truncation Limit"
"Number of characters to be shown in the Title.";"Number of characters to be shown in the Title."
